title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Optical Drive Type,tech_Rear Webcam Resolution,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Wattage,tech_Lithium Battery Weight,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_OS,tech_RAM,tech_Wireless communication technologies,tech_Connectivity technologies,tech_GPS,tech_Special features,tech_Display technology,tech_Other display features,tech_Other camera features,tech_Form factor,tech_Battery Power Rating,tech_Whats in the box,tech_Item part number,tech_Number of Ethernet Ports,tech_Notebook Display Technology,tech_Number of Microphone Ports
"Lenovo Legion Pro 5 Intel Core i7-14650HX 16"" (40.64cm) WQXGA IPS 500Nits 240Hz Gaming Laptop (16GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4060 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.5Kg), 83DF003NIN","1,56,990",https://www.amazon.in/Lenovo-i7-14650HX-40-64cm-500Nits-83DF003NIN/dp/B0CXPZLJ7T/ref=sr_1_853?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-853&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,Legion Pro 5,Eclipse Black,gaming laptop,54.1 Centimeters,35.6 Centimeters,16 Inches,2560 x 1600 pixel,2560x1600 Pixels,8.4 x 35.6 x 54.1 cm; 2.5 kg,1 Lithium Polymer batteries required. (included),16IRX9,Intel,Intel Core i7,2.2 GHz,24,16,DDR5,DDR5 RAM,32 GB,,1 TB,SSD,"Headphones, Speakers","Stereo speakers, 2W x2, optimized with Nahimic Audio",NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,Shared,8 GB,PCI Express,Wi-Fi,,,6,1,,No Optical Drive,,,Windows 11 Home,,6 Hours,Yes,80 Watt Hours,4,"User Guide, Laptop, Adapter",China,2 kg 500 g,B0CXPZLJ7T,"4.8
10 ratings
4.8 out of 5 stars","#42,088 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,211 in Traditional Laptops",11-Mar-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",8.4 x 35.6 x 54.1 Centimeters,1 Piece,Laptop,,PCIE x 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad X13 (2021) Intel Core i5 10th Gen 33.78cm (13.3"") Full HD Laptop (16GB RAM/ 512GB SSD/Windows 10 Professional/Black/ 1.29 kg), 20T2S0TQ00","30,500",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Professional-20T2S0TQ00/dp/B0DFTVGMFP/ref=sr_1_854?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-854&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,Thinkpad X13,Black,laptop,17 Millimeters,21.7 Centimeters,13.3 Inches,1920 x 1080 pixels,1920x1080,31.2 x 21.7 x 1.7 cm; 1.29 kg,1 Lithium Ion batteries required. (included),Thinkpad X13-cr,Intel,Core i5-10210U,1.6 GHz,1,16 GB,DDR4,,16 GB,,512 GB,SSD,"Headphones, Speakers",,,Intel,Integrated,Shared,,,Wi-Fi,802.11ax,,,1,,,,Battery Powered,Windows 10 Pro,,,Yes,4.9 Watt Hours,2,"Laptop, User manual, Adapter",,1 kg 290 g,B0DFTVGMFP,"5.0
3 ratings
5.0 out of 5 stars","#46,529 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,363 in Traditional Laptops",31-Aug-24,,,31.2 x 21.7 x 1.7 Centimeters,1 Case,Laptop,,Solid State,,,,,,,,,65 Watts,0.85 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkBook 15 G5 AMD Ryzen 3 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11/MS Office/Fingerprint Reader/Mineral Grey/1 Year Onsite/1.7 kg)","36,990",https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Windows-Fingerprint/dp/B0DHGZ62ZZ/ref=sr_1_865?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-865&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,ThinkBook 15 G5,,,,,15.6,,,,,,AMD,Ryzen 3,2.3,1,,DDR4,,16 GB,,8 GB,SSD,,,,AMD,Integrated,Shared,,Integrated,,,1,,,,No Optical Drive,,,Windows 11 Home,,,No,,,"Laptop, User manual, Adapter",China,1 kg 700 g,B0DHGZ62ZZ,"1.0
1 rating
1.0 out of 5 stars","#41,219 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,186 in Traditional Laptops",19-Sep-24,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",,,LAPTOP,50.2 x 32.29 x 7.4 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 8 GB RAM, 512gb SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim","18,099",https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVVLMGC/ref=sr_1_866?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-866&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Dell,Dell Computers,Latitude 5490,Black,Laptop,2.7 Centimeters,23.1 Centimeters,14 Inches,1280 x 720 pixels,HD (1366 X 768) MP,33.4 x 23.1 x 2.7 cm; 2.49 kg,1 Lithium Ion batteries required. (included),5490-cr,Intel,Core i5 Family,2.6 GHz,1,8 GB,DDR4,DDR4 SDRAM,8 GB,,512 GB,SSD,Speakers,,INTEL,Intel,Integrated,DDR4 SDRAM,2,Integrated,802_11_BGN,802.11bgn,,2,,,No Optical Drive,,,Windows 10 Pro,,,Yes,48 Kilowatt Hours,3,"charger, laptop",India,2 kg 490 g,B0BLVVLMGC,"3.4
232 ratings
3.4 out of 5 stars","#36,954 in Computers & Accessories (See Top 100 in Computers & Accessories)
#25 in Renewed Clearance Store
#1,063 in Traditional Laptops",09-Nov-22,,,33.4 x 23.1 x 2.7 Centimeters,1.00 count,Business Laptop,,Solid State,5400 RPM,"Linux, Windows",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LED,1
"MSI Modern 14, Intel 12Th Gen. I7-1255U, 36Cm FHD 60Hz Laptop(16GB/512GB NVME SSD/Windows 11 Home/Bluetooth/Mso 2021/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12MO-1211IN","48,990",https://www.amazon.in/MSI-I7-1255U-Bluetooth-Graphics-C12MO-1211IN/dp/B0BV2FF71G/ref=sr_1_868?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-868&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,MSI,MSI,Modern 14,Classic Black,Laptop,20 Millimeters,40 Millimeters,36 Centimetres,1920 x 1080 pixel,,6 x 4 x 2 cm; 1.4 kg,1 Lithium Polymer batteries required. (included),514980,Intel,Intel Core i7,1.2 GHz,1,16,DDR4,,16 GB,3200 MHz,,SSD,"Headphones, Speakers",,Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,2,2,,9.5 Volts,,,,Windows 11 Home,,,Yes,39.3 Watt Hours,3,Laptop,China,1 kg 400 g,B0BV2FF71G,"1.0
1 rating
1.0 out of 5 stars","#41,944 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,211 in Traditional Laptops",05-Jul-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India.",6 x 4 x 2 Centimeters,1 count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) HP Elitebook 840 G3 Laptop (Core i5 6th Gen 8Gb Ram 1Tb Hdd 14.1 inches Led Windows 10 Pro),"17,990",https://www.amazon.in/Renewed-HP-Elitebook-840-Windows/dp/B09B3YVSKF/ref=sr_1_869?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-869&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,HP,HP,ELITEBOOK 840 G3,Silver,Traditional Laptop,1.89 Centimeters,33.8 Centimeters,14.1 Inches,1366x768,HD (1366 X 768) MP,23.7 x 33.8 x 1.89 cm; 1.9 kg,1 Lithium Ion batteries required. (included),HP Elitebook 840 G3-cr,Intel,Core i5,,2,8 GB,,,,,1 TB,HDD,Headphones,,Intel HD Graphics,Intel,Integrated,,,Integrated,Wi-Fi,,,,,,No Optical Drive,,Battery Powered,Windows 10 Pro,,13 Hours,Yes,,,Laptop & Charger,India,1 kg 900 g,B09B3YVSKF,"1.9
3 ratings
1.9 out of 5 stars","#46,785 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,373 in Traditional Laptops",23-Jul-21,,,23.7 x 33.8 x 1.9 Centimeters,,Business Laptop,,eSATA,5400 RPM,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LED,
"(Refurbished) FUTOPIA ULTIMUS Pro, Celeron N4020c Thin & Light 4GB RAM 128GB eMMC, 14.1-inch (35.8 cm) HD Display Win 11 Home Space Grey 1.20 Kg (NU14U5INC43BN-SG)","11,041",https://www.amazon.in/Refurbished-FUTOPIA-ULTIMUS-14-1-inch-NU14U5INC43BN-SG/dp/B0D9BRH6VP/ref=sr_1_870?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-870&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,FUTOPIA,Futopia Global Pvt Ltd,NU14U3INC43BN,,Laptop,,,14.1 Inches,1366 x 768,,,,,Intel,Celeron N4020,1.1 GHz,2,4,DDR4,,4 GB,,,SSD,,,Intel UHD Graphics 600,Intel,Integrated,GDDR4,4 GB,,"Bluetooth, Wi-Fi",,1,,1,7.4 Volts,,,,Windows 11 Home,,8 Hours,,,,"Laptop, User Manual, Warranty Card, Adapter",,1 kg 200 g,B0D9BRH6VP,"1.0
2 ratings
1.0 out of 5 stars","#50,032 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,484 in Traditional Laptops",12-Jul-24,,,,1 count,Laptop,39.2 x 32.6 x 8.9 cm; 1.2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude 3440 i5-1235U / 16GB RAM / 512 SSD/Win 11 Pro / 14"" FHD/NO ODD/with bagpack","57,690",https://www.amazon.in/Dell-Precision-Workstation-i5-1235U-INDM3570N3-1/dp/B0CXDZBLXL/ref=sr_1_871?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-871&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Dell,Dell,Precision Mobile,Black,Traditional Laptop,,,15.6 Inches,1920 x 1080 pixels,1920x1080,,1 Lithium Ion batteries required. (included),,Intel,Core i5,4 GHz,1,16,DDR4,DDR4 SDRAM,64 GB,,512 GB,SSD,Headphones,,,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,1,3,,,,,,Windows 11 Pro,,,Yes,,3,"User Manual,Laptop,Power Adapter",,1 kg 400 g,B0CXDZBLXL,"1.0
1 rating
1.0 out of 5 stars","#45,779 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,341 in Traditional Laptops",07-Mar-24,Dell,Dell,,1 Piece,Laptop,42 x 34.5 x 9 cm; 1.4 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Modern 15, Intel 12th Gen i7-1255U, 40CM FHD Thin & Light Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe Graphics/Classic Black/1.7Kg), B12MO-816IN","48,990",https://www.amazon.in/MSI-i7-1255U-Windows-Graphics-B12MO-816IN/dp/B0D1VKPSH7/ref=sr_1_872?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-872&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,MSI,MSI,Modern 15,Classic Black,Laptop,47.1 Centimeters,30.4 Centimeters,40 Centimetres,1920 x 1080 pixel,,7.9 x 30.4 x 47.1 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i7,1.2 GHz,1,16,DDR4,,16 GB,,,SSD,"Headphones, Speakers",,Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,2,2,,9.5 Volts,,,,Windows 11 Home,,,Yes,39.3 Watt Hours,3,"User Guide, Laptop, Power Adapter",China,1 kg 700 g,B0D1VKPSH7,"4.0
1 rating
4.0 out of 5 stars","#48,750 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,441 in Traditional Laptops",16-Apr-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",7.9 x 30.4 x 47.1 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-NY040W","49,999",https://www.amazon.in/Refurbished-ASUS-i5-11400H-17-3-inch-FX706HF-NY040W/dp/B0DK9K2ZMQ/ref=sr_1_873?dib=eyJ2IjoiMSJ9.ZWbwr5IleRpZUIJuf82C-BBNwMO7Zax1WmEHiWqiR0nILU_nY8uB9nrKKRnyiYfRCEC9SMswEi4fzKTB4S4h4gF8SAUKHJun9cvKuPS0-LDUAX-HZM4ByVac0-aqPZ-i0yaNaObQFkwQyvQnzopuPZCkWHNaQ0Gc7oSgeqGYWUYp6bivuI7ccdC055bNXuZ7LCaFPazsIy2JlA76a_aEZiCijeE5VuL7IxtWpfjdFpojPCc3Zkn0rNup4PNEZcZjjVWlBO54KYDkRDgH96pDnp7COYOUBSkrmNLbyNtmR3dxzNLXiVy3mJcmImHZ6Rht_nhNt7sYcKyZtlaeItPAeC3fLIK8Cxk-XNfKn6Z2DqI.IVMf2VkiytkAjgajWjuAdJ72CimOX-jgSFdOTbXE4GQ&dib_tag=se&qid=1737641383&s=computers&sr=1-873&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,ASUS,ASUS,TUF Gaming,Graphite Black,Ultra-Portable,,,17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,,FX706HF-NY040W-cr,Intel,Core i5,4.5 GHz,6,16,DDR4,SODIMM,32 GB,3200 GHz,512 GB,SSD,,,NVIDIA GeForce RTX 2050,NVIDIA,Dedicated,GDDR6,4 GB,,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",,,1,20 Volts (DC),,,,Windows 11 Home,,48 Hours,Yes,48 Watt Hours,3,"Laptop, Adapter & User Manual",,2 kg 600 g,B0DK9K2ZMQ,,"#40,017 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,148 in Traditional Laptops",18-Oct-24,,,,1 Count,Gaming Laptop,49 x 32.79 x 10.5 cm; 2.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
